İlçe,Yatak_Sayısı
Arnavutköy, 400
Avcılar, 1200
Bağcılar, 1500
Başakşehir, 2200
Bahçelievler, 1800
Bakırköy, 1200
Bayrampaşa, 1000
Beşiktaş, 1200
Beylikdüzü, 1000
Çatalca, 200
Esenler, 900
Esenyurt, 1500
Eyüpsultan, 800
Fatih, 2500
Gaziosmanpaşa, 1200
Güngören, 600
Kadıköy, 3500
Kağıthane, 900
Kartal, 2500
Küçükçekmece, 2000
Maltepe, 1500
Pendik, 2000
Sancaktepe, 900
Sarıyer, 700
Şile, 100
Şişli, 2500
Sultanbeyli, 400
Sultangazi, 900
Tuzla, 700
Ümraniye, 2000
Üsküdar, 2500
Zeytinburnu, 900
Silivri, 300
Ataşehir, 900
Adalar, 100
Beykoz, 700
Büyükçekmece, 800
Çekmeköy, 600
Beyoğlu, 1500
